Team,Opponent,Year,Date,W/L,W%,SRS,EXP,PTS,REB,AST,STL,BLK,TOV,TS%,3P%
Grand Canyon,Gonzaga,2023,2023-03-17,0,-0.163,-14.56,-0.06,-8.5,-0.5,-3.0,-3.2,-2.7,0.6,-0.035,-0.014
Houston,Northern Kentucky,2023,2023-03-16,1,0.265,23.03,0.25,0.5,-0.4,-2.6,-1.9,-1.8,1.7,-0.019,-0.043
Houston,Auburn,2023,2023-03-18,1,0.287,7.85,-0.42,-4.1,-3.5,-3.4,-4.7,-4.4,0.8,-0.005,0.008
Houston,Miami (FL),2023,2023-03-24,0,0.131,8.22,0.08,-9.3,-3.8,-7.2,-6.2,-6.5,0.0,-0.047,-0.042
Howard,Kansas,2023,2023-03-16,0,-0.147,-24.24,0.11,2.2,2.7,4.1,2.8,2.4,-2.6,0.018,0.029
Illinois,Arkansas,2023,2023-03-16,0,0.019,-1.18,-0.33,-0.3,2.1,0.6,-0.3,1.0,0.6,-0.010,0.009
Indiana,Kent State,2023,2023-03-17,1,-0.157,7.41,-0.20,0.7,1.8,3.4,1.6,2.5,2.2,0.004,0.028
Indiana,Miami (FL),2023,2023-03-19,0,-0.115,0.96,0.21,-3.8,0.2,-1.3,-1.7,-0.8,0.5,-0.026,-0.001
Iona,Connecticut,2023,2023-03-17,0,0.037,-15.34,0.35,-0.5,3.5,3.6,1.2,2.2,0.3,-0.011,0.000
Iowa,Auburn,2023,2023-03-16,0,-0.031,-0.27,-0.50,7.2,4.0,6.1,3.3,3.5,1.3,0.038,0.052
Iowa State,Pittsburgh,2023,2023-03-17,0,-0.083,4.77,0.17,-7.3,-4.0,-3.3,-1.7,-3.8,-3.5,-0.007,-0.010
Kansas,Howard,2023,2023-03-16,1,0.147,24.24,-0.11,-2.2,-1.0,-0.1,-2.3,-1.8,2.6,-0.018,-0.029
Kansas,Arkansas,2023,2023-03-18,0,0.188,3.21,-0.07,0.8,1.6,3.0,1.1,0.6,0.3,0.000,0.017
