Team,Opponent,Year,Date,W/L,W%,SRS,EXP,PTS,REB,AST,STL,BLK,TOV,TS%,3P%
Miami (FL),Kansas,2022,2022-03-27,0,-0.127,-11.06,0.14,-0.6,0.3,2.7,2.8,1.6,0.7,0.024,0.013
Michigan,Colorado State,2022,2022-03-17,1,-0.285,2.75,-0.36,1.3,3.6,2.8,1.3,1.9,0.5,-0.016,-0.011
Michigan,Tennessee,2022,2022-03-19,1,-0.239,-6.20,0.04,2.8,4.3,4.6,2.3,3.5,3.3,0.021,-0.005
Michigan,Villanova,2022,2022-03-24,0,-0.239,-5.05,-0.72,3.8,4.9,4.8,3.4,3.3,0.1,0.008,-0.002
Michigan State,Davidson,2022,2022-03-18,1,-0.171,2.75,-0.07,-0.1,4.4,3.4,1.9,2.9,-1.2,-0.026,-0.014
Michigan State,Duke,2022,2022-03-20,0,-0.176,-6.37,0.23,-3.3,2.1,1.8,0.5,1.5,-1.1,-0.005,0.004
Montana State,Texas Tech,2022,2022-03-18,0,0.059,-20.34,-0.75,6.6,6.8,5.4,3.6,4.9,1.8,0.031,0.031
Murray State,San Francisco,2022,2022-03-17,1,0.210,-4.25,-0.28,-1.4,0.8,-0.3,-1.5,-2.2,0.2,-0.002,0.004
Murray State,Saint Peter's,2022,2022-03-19,0,0.304,6.91,-0.08,6.4,3.1,2.3,0.8,-0.5,0.9,0.027,0.005
New Mexico State,Connecticut,2022,2022-03-17,1,0.094,-9.29,0.20,-1.5,2.3,1.4,-1.0,0.0,-1.0,0.009,-0.037
New Mexico State,Arkansas,2022,2022-03-19,0,0.055,-9.16,-0.07,-3.6,-0.2,-1.3,-2.7,-1.6,0.5,-0.001,0.002
Norfolk State,Baylor,2022,2022-03-17,0,-0.013,-25.64,0.43,-1.2,3.2,-0.2,0.3,0.6,0.3,-0.014,-0.005
North Carolina,Marquette,2022,2022-03-17,1,0.106,4.14,0.75,1.8,0.8,0.1,-1.1,0.2,2.4,0.005,0.016
North Carolina,Baylor,2022,2022-03-19,1,-0.094,-6.23,0.04,4.1,8.1,4.5,3.0,4.2,3.5,0.001,0.025
North Carolina,UCLA,2022,2022-03-25,1,-0.063,-3.80,-0.61,4.6,7.5,5.1,3.8,3.8,0.3,0.007,0.011
North Carolina,Saint Peter's,2022,2022-03-27,1,0.085,12.54,-0.20,9.8,8.2,6.4,3.6,3.9,2.9,0.025,0.027
North Carolina,Duke,2022,2022-04-02,1,-0.105,-4.05,0.05,0.7,5.5,2.6,1.4,2.1,-0.2,-0.006,0.005
North Carolina,Kansas,2022,2022-04-04,0,-0.105,-6.78,-0.39,1.8,6.1,3.6,1.4,2.4,1.7,0.001,0.018
Notre Dame,Alabama,2022,2022-03-18,1,0.103,-2.75,0.39,-8.2,-5.8,-4.0,-6.0,-5.6,3.6,-0.001,0.028
Notre Dame,Texas Tech,2022,2022-03-20,0,-0.038,-8.21,-0.24,3.5,5.1,4.7,2.5,2.9,4.4,0.015,0.034
Ohio State,Loyola (IL),2022,2022-03-18,1,-0.148,0.78,0.00,3.1,4.8,4.8,2.5,3.8,2.2,0.001,0.008
Ohio State,Villanova,2022,2022-03-20,0,-0.155,-5.14,0.08,3.1,3.5,3.1,2.4,3.2,0.2,0.013,0.018
Providence,South Dakota State,2022,2022-03-17,1,-0.049,6.48,0.25,-10.7,-0.6,-3.0,-3.5,-3.0,0.4,-0.063,-0.077
Providence,Richmond,2022,2022-03-19,1,0.176,6.01,-0.25,-0.9,-0.1,-0.9,-1.3,-0.8,0.4,-0.019,-0.014
Providence,Kansas,2022,2022-03-25,0,0.010,-9.20,0.14,-3.9,1.7,0.2,-1.3,-0.3,1.5,-0.013,-0.008
Purdue,Yale,2022,2022-03-18,1,0.161,19.25,0.33,3.5,1.3,1.8,-1.7,-0.3,2.4,0.028,0.042
Purdue,Texas,2022,2022-03-20,1,0.138,2.14,-0.74,9.2,7.2,7.4,3.3,4.0,2.6,0.031,0.034
Purdue,Saint Peter's,2022,2022-03-25,0,0.161,16.19,-0.02,9.2,5.5,5.6,1.8,2.3,2.9,0.049,0.038
Richmond,Iowa,2022,2022-03-17,1,-0.086,-11.83,0.82,-7.5,-3.2,-1.4,-0.3,-1.7,0.1,-0.009,-0.010
Richmond,Providence,2022,2022-03-19,0,-0.176,-6.01,0.25,0.9,0.1,2.8,2.0,0.5,-0.4,0.019,0.014
Saint Mary's (CA),Indiana,2022,2022-03-17,1,0.164,2.11,-0.09,-3.3,-2.8,-1.5,-2.7,-2.9,0.1,0.008,0.015
Saint Mary's (CA),UCLA,2022,2022-03-19,0,0.000,-4.48,-0.38,-4.8,-1.7,-1.0,-0.8,-2.3,-0.9,0.005,0.009
Saint Peter's,Kentucky,2022,2022-03-17,1,-0.155,-17.94,0.17,-8.3,0.6,-1.7,-1.5,-1.0,-1.7,-0.023,-0.007
Saint Peter's,Murray State,2022,2022-03-19,1,-0.304,-6.91,0.08,-6.4,1.9,0.6,0.5,0.2,-0.9,-0.027,-0.005
Saint Peter's,Purdue,2022,2022-03-25,1,-0.161,-16.19,0.02,-9.2,0.4,-3.6,-2.4,-1.7,-2.9,-0.049,-0.038
Saint Peter's,North Carolina,2022,2022-03-27,0,-0.085,-12.54,0.20,-9.8,-2.9,-4.7,-4.2,-3.7,-2.9,-0.025,-0.027
San Diego State,Creighton,2022,2022-03-17,0,0.075,1.79,0.99,-6.1,-4.5,-3.9,-3.8,-3.5,-1.3,-0.009,0.015
San Francisco,Murray State,2022,2022-03-17,0,-0.210,4.25,0.28,1.4,5.6,3.7,3.5,2.6,-0.2,0.002,-0.004
Seton Hall,Texas Christian,2022,2022-03-18,0,0.052,-0.97,0.21,2.5,4.7,-0.6,0.8,1.8,1.2,-0.002,0.019
South Dakota State,Providence,2022,2022-03-17,0,0.049,-6.48,-0.25,10.7,4.1,5.5,3.7,2.9,-0.4,0.063,0.077
Southern California,Miami (FL),2022,2022-03-18,0,0.091,1.28,-0.25,-3.0,0.1,-2.7,-2.3,-1.7,0.7,-0.046,0.002
Tennessee,Longwood,2022,2022-03-17,1,-0.025,20.81,-0.15,-2.6,1.8,0.9,0.3,-1.2,-0.9,-0.026,-0.013
Tennessee,Michigan,2022,2022-03-19,0,0.239,6.20,-0.04,-2.8,0.0,-0.5,-1.3,-2.7,-3.3,-0.021,0.005
Texas,Virginia Tech,2022,2022-03-18,1,-0.001,2.53,1.00,-2.1,0.4,-0.4,-0.4,-0.9,-1.9,-0.024,-0.033
Texas,Purdue,2022,2022-03-20,0,-0.138,-2.14,0.74,-9.2,-1.8,-4.1,-3.0,-3.4,-2.6,-0.031,-0.034
Texas Christian,Seton Hall,2022,2022-03-18,1,-0.052,0.97,-0.21,-2.5,0.9,0.3,-0.8,-0.8,-1.2,0.002,-0.019
Texas Christian,Arizona,2022,2022-03-20,0,-0.287,-9.03,0.36,-9.3,1.0,-0.7,-1.8,-1.0,-0.4,-0.019,-0.035
Texas Southern,Kansas,2022,2022-03-17,0,-0.211,-25.58,0.73,-5.2,2.6,-1.2,-1.1,0.4,-1.1,-0.031,-0.021
Texas Tech,Montana State,2022,2022-03-18,1,-0.059,20.34,0.75,-6.6,-1.7,-2.3,-3.6,-4.0,-1.8,-0.031,-0.031
Texas Tech,Notre Dame,2022,2022-03-20,1,0.038,8.21,0.24,-3.5,-1.9,-2.2,-2.3,-3.0,-4.4,-0.015,-0.034
Texas Tech,Duke,2022,2022-03-24,0,-0.088,0.53,0.74,-7.6,-2.3,-3.4,-2.6,-3.5,-4.2,-0.012,-0.025
UCLA,Akron,2022,2022-03-17,1,0.054,18.39,0.91,3.4,3.8,3.2,1.7,1.5,0.6,-0.013,-0.011
UCLA,Saint Mary's (CA),2022,2022-03-19,1,0.000,4.48,0.38,4.8,5.5,4.7,2.5,2.1,0.9,-0.005,-0.009
UCLA,North Carolina,2022,2022-03-25,0,0.063,3.80,0.61,-4.6,-1.5,-2.8,-3.2,-3.6,-0.3,-0.007,-0.011
Vermont,Arkansas,2022,2022-03-17,0,0.091,-8.46,0.47,-4.3,-3.7,-2.5,-4.6,-4.3,3.2,0.023,0.041
Villanova,Delaware,2022,2022-03-18,1,0.141,18.99,0.21,-4.6,-3.1,-3.6,-4.0,-4.0,1.8,-0.019,-0.017
Villanova,Ohio State,2022,2022-03-20,1,0.155,5.14,-0.08,-3.1,-1.1,-2.3,-2.6,-2.7,-0.2,-0.013,-0.018
Villanova,Michigan,2022,2022-03-24,1,0.239,5.05,0.72,-3.8,-1.1,-3.0,-3.1,-3.9,-0.1,-0.008,0.002
Villanova,Houston,2022,2022-03-26,1,-0.065,-3.24,0.46,0.4,3.4,2.5,2.0,1.9,1.8,0.017,0.021
Villanova,Kansas,2022,2022-04-02,0,-0.036,-2.97,0.22,-5.6,-1.5,-2.2,-2.6,-2.8,1.6,0.002,0.004
Virginia Tech,Texas,2022,2022-03-18,0,0.001,-2.53,-1.00,2.1,1.0,3.7,0.8,1.1,1.9,0.024,0.033
Wisconsin,Colgate,2022,2022-03-18,1,0.098,12.15,-1.01,-3.4,0.2,-1.8,-1.1,-0.5,1.1,-0.026,-0.054
Wisconsin,Iowa State,2022,2022-03-20,0,0.149,0.75,-0.92,3.9,2.6,1.5,0.8,1.2,5.2,-0.002,0.014
Wright State,Arizona,2022,2022-03-18,0,-0.283,-24.69,0.55,-2.3,2.4,3.0,1.4,1.9,0.5,0.016,-0.007
Yale,Purdue,2022,2022-03-18,0,-0.161,-19.25,-0.33,-3.5,3.8,-0.5,0.5,0.7,-2.4,-0.028,-0.042
Abilene Christian,Texas,2021,2021-03-20,1,0.121,-9.24,-0.60,-3.3,-3.1,0.0,-2.2,-4.0,-3.2,-0.010,-0.010
Abilene Christian,UCLA,2021,2021-03-22,0,0.185,-10.03,0.11,-2.9,-1.7,-1.4,-1.6,-4.0,-5.6,-0.022,-0.028
Alabama,Iona,2021,2021-03-20,1,0.094,20.78,0.38,6.2,6.3,3.3,2.5,2.9,0.0,-0.010,-0.002
Alabama,Maryland,2021,2021-03-22,1,0.248,5.64,0.23,7.7,5.7,3.2,3.7,3.1,-3.6,-0.020,-0.030
Alabama,UCLA,2021,2021-03-28,0,0.133,3.28,0.21,4.0,5.5,1.7,2.6,1.5,-3.5,-0.024,-0.033
Arkansas,Colgate,2021,2021-03-19,1,-0.148,4.14,-0.04,-1.3,2.9,2.4,1.8,1.6,-2.7,-0.013,0.001
Arkansas,Texas Tech,2021,2021-03-21,1,0.156,1.21,0.53,8.3,7.0,6.2,5.0,4.8,-0.6,0.004,-0.014
Arkansas,Oral Roberts,2021,2021-03-27,1,0.170,16.07,0.24,-2.3,-2.3,-1.2,-1.3,-1.5,-1.5,-0.022,-0.025
Arkansas,Baylor,2021,2021-03-29,0,-0.131,-7.03,0.06,1.9,6.7,3.8,3.8,3.1,0.3,-0.027,-0.037
Baylor,Hartford,2021,2021-03-19,1,0.264,28.28,0.27,9.6,1.3,3.5,2.4,0.9,-1.0,0.039,0.065
Baylor,Wisconsin,2021,2021-03-21,1,0.330,7.61,0.04,7.0,1.0,2.7,2.7,0.5,-4.0,0.032,0.022
Baylor,Villanova,2021,2021-03-27,1,0.189,7.36,-0.06,3.6,1.2,2.0,2.0,0.0,-3.7,0.003,0.023
Baylor,Arkansas,2021,2021-03-29,1,0.131,7.03,-0.06,-1.9,-2.6,-0.3,-1.5,-2.6,-0.3,0.027,0.037
Baylor,Houston,2021,2021-04-03,1,0.028,3.17,0.14,7.1,5.8,6.9,5.7,4.3,-1.9,0.044,0.049
Baylor,Gonzaga,2021,2021-04-05,1,-0.083,-2.37,0.25,-6.1,0.8,0.5,-0.7,-1.7,-1.1,-0.017,0.024
Brigham Young,UCLA,2021,2021-03-20,0,0.103,-1.11,0.46,2.4,4.0,1.9,-0.1,0.0,-1.1,-0.003,-0.003
California Santa Barbara,Creighton,2021,2021-03-20,0,0.132,-8.48,0.18,-2.7,-3.5,-1.2,-1.8,-2.7,-0.6,0.012,0.000
Clemson,Rutgers,2021,2021-03-19,0,0.119,-1.65,0.10,-5.0,-4.8,-3.0,-3.2,-3.1,-1.2,0.008,0.022
Cleveland State,Houston,2021,2021-03-19,0,-0.158,-26.78,0.16,3.9,8.0,8.2,7.6,6.6,-1.0,0.024,-0.008
Colgate,Arkansas,2021,2021-03-19,0,0.148,-4.14,0.04,1.3,1.5,2.1,-0.3,-0.7,2.7,0.013,-0.001
Colorado,Georgetown,2021,2021-03-20,1,0.213,8.75,0.25,-3.1,-4.0,-4.7,-5.2,-4.0,1.1,0.016,0.001
Colorado,Florida State,2021,2021-03-22,0,0.006,1.76,-0.44,-4.8,-1.8,-1.9,-3.6,-2.7,1.9,0.000,0.002
Connecticut,Maryland,2021,2021-03-20,0,0.130,1.83,0.02,0.9,1.7,-0.1,-0.3,0.8,-1.3,-0.022,-0.022
Creighton,California Santa Barbara,2021,2021-03-20,1,-0.132,8.48,-0.18,2.7,5.7,5.2,3.9,3.3,0.6,-0.012,0.000
Creighton,Ohio,2021,2021-03-22,1,0.019,10.80,0.40,-3.8,-1.1,-1.3,-1.5,-1.8,1.2,-0.026,-0.006
Creighton,Gonzaga,2021,2021-03-28,0,-0.286,-10.92,0.25,-8.3,2.0,1.2,-0.3,-0.5,1.5,-0.039,-0.009
Drake,Southern California,2021,2021-03-20,0,0.108,-11.08,0.23,0.2,1.5,0.1,0.4,-0.2,0.6,0.021,-0.007
Drexel,Illinois,2021,2021-03-19,0,-0.162,-24.22,0.46,-5.6,1.2,1.3,-1.7,-1.3,0.6,0.010,-0.005
Eastern Washington,Kansas,2021,2021-03-20,0,-0.019,-11.26,0.21,4.3,2.1,3.5,1.1,1.7,1.4,0.021,-0.005
Florida,Virginia Tech,2021,2021-03-19,1,-0.106,1.11,-0.20,3.3,3.7,2.7,2.9,3.1,-2.8,0.006,-0.011
Florida,Oral Roberts,2021,2021-03-21,0,-0.007,11.97,-0.22,-6.1,-4.8,-2.8,-1.8,-1.6,-2.2,-0.005,-0.028
Florida State,North Carolina Greensboro,2021,2021-03-20,1,0.003,13.64,0.50,3.1,1.1,2.5,2.2,2.1,-1.2,0.028,0.044
Florida State,Colorado,2021,2021-03-22,1,-0.006,-1.76,0.44,4.8,5.8,4.4,4.0,3.8,-1.9,0.000,-0.002
Florida State,Michigan,2021,2021-03-28,0,-0.106,-4.88,0.06,2.8,4.9,4.3,3.2,3.2,-3.5,0.009,-0.001
Georgetown,Colorado,2021,2021-03-20,0,-0.213,-8.75,-0.25,3.1,8.6,4.8,4.5,4.5,-1.1,-0.016,-0.001
Georgia Tech,Loyola (IL),2021,2021-03-19,0,-0.177,-2.33,-0.11,8.9,8.4,10.1,9.0,7.4,-0.7,0.016,0.013
Gonzaga,Norfolk State,2021,2021-03-20,1,0.292,33.36,-0.50,8.7,0.2,3.1,1.2,-0.5,1.0,0.046,0.006
Gonzaga,Oklahoma,2021,2021-03-22,1,0.400,13.68,-0.21,8.1,0.4,3.3,1.1,-0.2,-1.3,0.039,-0.001
Gonzaga,Creighton,2021,2021-03-28,1,0.286,10.92,-0.25,8.3,1.0,3.6,2.0,0.8,-1.5,0.039,0.009
Gonzaga,Southern California,2021,2021-03-30,1,0.241,6.70,-0.13,10.4,4.6,5.4,3.5,2.3,-1.2,0.054,0.001
Gonzaga,UCLA,2021,2021-04-03,1,0.333,10.90,0.00,9.4,3.5,3.8,2.2,0.6,-2.1,0.028,-0.007
Gonzaga,Baylor,2021,2021-04-05,0,0.083,2.37,-0.25,6.1,4.9,5.4,3.3,1.5,1.1,0.017,-0.024
Grand Canyon,Iowa,2021,2021-03-20,0,0.015,-16.29,0.35,-9.4,-3.9,-5.3,-5.6,-5.4,-1.7,-0.016,-0.055
Hartford,Baylor,2021,2021-03-19,0,-0.264,-28.28,-0.27,-9.6,0.0,-1.5,-0.1,-1.7,1.0,-0.039,-0.065
Houston,Cleveland State,2021,2021-03-19,1,0.158,26.78,-0.16,-3.9,-4.0,-5.9,-5.7,-5.6,1.0,-0.024,0.008
Houston,Rutgers,2021,2021-03-21,1,0.312,7.52,-0.04,-1.3,-2.7,-4.5,-4.1,-4.0,-0.2,-0.005,0.004
Houston,Syracuse,2021,2021-03-27,1,0.249,8.39,0.15,-5.3,-4.7,-7.6,-4.9,-5.2,0.3,-0.020,-0.012
Houston,Oregon State,2021,2021-03-29,1,0.303,10.18,-0.24,-1.9,-1.2,-4.0,-3.3,-3.7,-0.5,-0.024,-0.007
Houston,Baylor,2021,2021-04-03,0,-0.028,-3.17,-0.14,-7.1,0.8,-2.8,-2.5,-3.3,1.9,-0.044,-0.049
Illinois,Drexel,2021,2021-03-19,1,0.162,24.22,-0.46,5.6,5.7,3.4,0.3,0.4,-0.6,-0.010,0.005
Illinois,Loyola (IL),2021,2021-03-21,0,-0.064,8.13,-0.50,11.0,12.5,9.6,6.6,6.3,0.5,-0.003,0.005
Iona,Alabama,2021,2021-03-20,0,-0.094,-20.78,-0.38,-6.2,-2.6,-0.8,-2.6,-2.4,0.0,0.010,0.002
Iowa,Grand Canyon,2021,2021-03-20,1,-0.015,16.29,-0.35,9.4,10.0,9.9,5.3,6.5,1.7,0.016,0.055
Iowa,Oregon,2021,2021-03-22,0,-0.036,5.25,-0.42,9.1,7.7,6.4,3.8,4.3,1.7,-0.011,0.007
Kansas,Eastern Washington,2021,2021-03-20,1,0.019,11.26,-0.21,-4.3,-0.2,-0.6,-1.2,-0.8,-1.4,-0.021,0.005
Kansas,Southern California,2021,2021-03-22,0,-0.044,-5.21,-0.13,0.0,3.4,1.5,1.6,1.6,-0.9,0.004,-0.008
Liberty,Oklahoma State,2021,2021-03-19,0,0.107,-9.59,0.28,-7.5,-7.7,-4.7,-8.0,-7.4,4.3,0.021,0.024
Louisiana State,St. Bonaventure,2021,2021-03-20,1,-0.133,2.26,-0.75,13.0,9.4,7.0,8.5,6.9,-0.6,0.033,-0.002
Louisiana State,Michigan,2021,2021-03-22,0,-0.167,-6.30,-0.87,8.1,8.8,6.1,6.5,5.1,-1.6,0.009,-0.028
Loyola (IL),Georgia Tech,2021,2021-03-19,1,0.177,2.33,0.11,-8.9,-7.8,-6.2,-6.2,-7.2,0.7,-0.016,-0.013
Loyola (IL),Illinois,2021,2021-03-21,1,0.064,-8.13,0.50,-11.0,-5.2,-4.0,-6.2,-7.0,-0.5,0.003,-0.005
Loyola (IL),Oregon State,2021,2021-03-27,0,0.271,3.64,0.17,-5.5,-6.3,-4.1,-5.0,-6.0,-0.9,0.009,0.017
Maryland,Connecticut,2021,2021-03-20,1,-0.130,-1.83,-0.02,-0.9,0.3,2.0,0.3,0.8,1.3,0.022,0.022
Maryland,Alabama,2021,2021-03-22,0,-0.248,-5.64,-0.23,-7.7,-4.9,-1.2,-3.7,-3.1,3.6,0.020,0.030
Michigan,Texas Southern,2021,2021-03-20,1,0.153,28.15,-0.39,-1.3,-1.3,-0.4,-3.2,-1.9,4.3,0.020,0.059
Michigan,Louisiana State,2021,2021-03-22,1,0.167,6.30,0.87,-8.1,-5.2,-4.1,-5.8,-4.8,1.6,-0.009,0.028
Michigan,Florida State,2021,2021-03-28,1,0.106,4.88,-0.06,-2.8,0.2,-0.2,-3.4,-1.4,3.5,-0.009,0.001
Michigan,UCLA,2021,2021-03-30,0,0.167,5.70,0.66,-0.5,1.3,0.0,-2.0,-1.0,0.5,-0.011,-0.003
Missouri,Oklahoma,2021,2021-03-20,0,0.040,-1.15,0.59,0.5,0.8,1.6,1.6,1.3,-1.1,0.003,-0.021
Morehead State,West Virginia,2021,2021-03-19,0,0.100,-16.31,0.27,-8.2,-2.9,-4.6,-4.8,-2.9,-0.3,-0.009,-0.017
Norfolk State,Gonzaga,2021,2021-03-20,0,-0.292,-33.36,0.50,-8.7,3.0,0.1,0.2,0.2,-1.0,-0.046,-0.006
North Carolina,Wisconsin,2021,2021-03-19,0,0.057,-2.43,-0.21,5.3,6.6,4.1,4.0,3.2,-3.9,-0.006,-0.016
North Carolina Greensboro,Florida State,2021,2021-03-20,0,-0.003,-13.64,-0.50,-3.1,2.1,-0.8,-0.7,-0.5,1.2,-0.028,-0.044
North Texas,Purdue,2021,2021-03-19,1,-0.013,-7.97,0.78,-2.8,-1.3,-2.6,-1.7,-2.5,-1.5,0.010,0.029
North Texas,Villanova,2021,2021-03-21,0,-0.073,-9.89,0.04,-4.6,-1.9,-1.5,-0.9,-2.1,-2.8,-0.011,0.007
Ohio,Virginia,2021,2021-03-20,1,-0.054,-9.79,-0.34,11.6,9.0,9.0,6.8,6.0,-3.7,0.010,-0.012
Ohio,Creighton,2021,2021-03-22,0,-0.019,-10.80,-0.40,3.8,1.5,4.4,2.7,1.8,-1.2,0.026,0.006
Ohio State,Oral Roberts,2021,2021-03-19,0,0.085,16.52,0.50,-4.2,-3.7,-1.8,-2.8,-2.0,2.2,-0.001,-0.009
Oklahoma,Missouri,2021,2021-03-20,1,-0.040,1.15,-0.59,-0.5,-0.8,-0.1,-0.6,-1.2,1.1,-0.003,0.021
Oklahoma,Gonzaga,2021,2021-03-22,0,-0.400,-13.68,0.21,-8.1,2.8,0.9,0.6,0.5,1.3,-0.039,0.001
Oklahoma State,Liberty,2021,2021-03-19,1,-0.107,9.59,-0.28,7.5,10.6,8.2,7.4,7.5,-4.3,-0.021,-0.024
Oklahoma State,Oregon State,2021,2021-03-21,0,0.128,2.17,-0.49,5.6,4.9,2.7,3.7,3.4,-3.3,-0.005,-0.003
Oral Roberts,Ohio State,2021,2021-03-19,1,-0.085,-16.52,-0.50,4.2,2.8,1.8,3.2,2.9,-2.2,0.001,0.009
Oral Roberts,Florida,2021,2021-03-21,1,0.007,-11.97,0.22,6.1,3.4,2.8,2.2,2.9,2.2,0.005,0.028
Oral Roberts,Arkansas,2021,2021-03-27,0,-0.170,-16.07,-0.24,2.3,1.9,2.7,2.5,2.5,1.5,0.022,0.025
Oregon,Iowa,2021,2021-03-22,1,0.036,-5.25,0.42,-9.1,-5.9,-4.8,-2.5,-3.2,-1.7,0.011,-0.007
Oregon,Southern California,2021,2021-03-28,0,0.001,-4.35,0.32,-0.8,0.1,0.8,1.3,0.9,-0.2,0.037,0.013
Oregon State,Tennessee,2021,2021-03-19,1,-0.106,-5.39,0.29,1.3,2.2,4.2,1.7,2.5,2.3,0.014,0.001
Oregon State,Oklahoma State,2021,2021-03-21,1,-0.128,-2.17,0.49,-5.6,-3.5,-1.5,-3.7,-3.1,3.3,0.005,0.003
Oregon State,Loyola (IL),2021,2021-03-27,1,-0.271,-3.64,-0.17,5.5,9.2,8.2,6.1,6.2,0.9,-0.009,-0.017
Oregon State,Houston,2021,2021-03-29,0,-0.303,-10.18,0.24,1.9,6.0,6.7,5.2,5.2,0.5,0.024,0.007
Purdue,North Texas,2021,2021-03-19,0,0.013,7.97,-0.78,2.8,5.6,4.6,1.6,2.5,1.5,-0.010,-0.029
Rutgers,Clemson,2021,2021-03-19,1,-0.119,1.65,-0.10,5.0,4.1,4.1,3.4,3.8,1.2,-0.008,-0.022
Rutgers,Houston,2021,2021-03-21,0,-0.312,-7.52,0.04,1.3,6.5,6.3,6.0,6.0,0.2,0.005,-0.004
San Diego State,Syracuse,2021,2021-03-19,0,0.212,1.09,0.19,-5.0,-5.5,-6.1,-3.3,-4.7,-0.4,0.004,0.019
Southern California,Drake,2021,2021-03-20,1,-0.108,11.08,-0.23,-0.2,4.1,1.9,-0.1,1.3,-0.6,-0.021,0.007
Southern California,Kansas,2021,2021-03-22,1,0.044,5.21,0.13,0.0,1.2,0.1,-1.6,0.1,0.9,-0.004,0.008
Southern California,Oregon,2021,2021-03-28,1,-0.001,4.35,-0.32,0.8,3.5,0.0,-0.5,0.7,0.2,-0.037,-0.013
Southern California,Gonzaga,2021,2021-03-30,0,-0.241,-6.70,0.13,-10.4,2.0,-1.3,-3.0,-1.2,1.2,-0.054,-0.001
St. Bonaventure,Louisiana State,2021,2021-03-20,0,0.133,-2.26,0.75,-13.0,-7.5,-6.7,-7.0,-6.9,0.6,-0.033,0.002
Syracuse,San Diego State,2021,2021-03-19,1,-0.212,-1.09,-0.19,5.0,6.2,5.7,6.2,5.5,0.4,-0.004,-0.019
Syracuse,West Virginia,2021,2021-03-21,1,-0.027,-2.09,-0.02,-2.2,-0.9,-0.5,0.0,0.1,0.9,-0.004,-0.016
Syracuse,Houston,2021,2021-03-27,0,-0.249,-8.39,-0.15,5.3,7.8,8.2,7.5,7.2,-0.3,0.020,0.012
Tennessee,Oregon State,2021,2021-03-19,0,0.106,5.39,-0.29,-1.3,-0.9,-0.8,-1.1,-1.1,-2.3,-0.014,-0.001
Texas,Abilene Christian,2021,2021-03-20,0,-0.121,9.24,0.60,3.3,6.1,5.4,3.9,4.1,3.2,0.010,0.010
Texas Southern,Michigan,2021,2021-03-20,0,-0.153,-28.15,0.39,1.3,7.2,3.3,3.2,3.0,-4.3,-0.020,-0.059
Texas Tech,Utah State,2021,2021-03-19,1,-0.085,5.60,0.07,0.4,2.8,1.2,0.7,0.7,0.4,0.011,0.016
Texas Tech,Arkansas,2021,2021-03-21,0,-0.156,-1.21,-0.53,-8.3,-4.2,-3.5,-3.5,-3.6,0.6,-0.004,0.014
UCLA,Brigham Young,2021,2021-03-20,1,-0.103,1.11,-0.46,-2.4,1.1,1.0,-0.8,0.3,1.1,0.003,0.003
UCLA,Abilene Christian,2021,2021-03-22,1,-0.185,10.03,-0.11,2.9,4.5,5.7,3.2,3.5,5.6,0.022,0.028
UCLA,Alabama,2021,2021-03-28,1,-0.133,-3.28,-0.21,-4.0,-2.4,0.4,-2.3,-1.9,3.5,0.024,0.033
UCLA,Michigan,2021,2021-03-30,1,-0.167,-5.70,-0.66,0.5,3.6,3.5,1.6,1.7,-0.5,0.011,0.003
UCLA,Gonzaga,2021,2021-04-03,0,-0.333,-10.90,0.00,-9.4,1.7,0.3,-1.2,-0.6,2.1,-0.028,0.007
Utah State,Texas Tech,2021,2021-03-19,0,0.085,-5.60,-0.07,-0.4,3.3,2.8,0.1,0.5,-0.4,-0.011,-0.016
Villanova,Winthrop,2021,2021-03-19,1,-0.231,12.78,-0.20,-2.3,1.0,2.1,-0.7,-1.1,4.4,0.012,0.010
Villanova,North Texas,2021,2021-03-21,1,0.073,9.89,-0.04,4.6,3.7,4.9,1.5,1.6,2.8,0.011,-0.007
Villanova,Baylor,2021,2021-03-27,0,-0.189,-7.36,0.06,-3.6,1.6,1.9,0.3,-0.6,3.7,-0.003,-0.023
Virginia,Ohio,2021,2021-03-20,0,0.054,9.79,0.34,-11.6,-7.1,-6.1,-6.4,-5.1,3.7,-0.010,0.012
Virginia Tech,Florida,2021,2021-03-19,0,0.106,-1.11,0.20,-3.3,-1.5,-1.3,-3.6,-1.8,2.8,-0.006,0.011
West Virginia,Morehead State,2021,2021-03-19,1,-0.100,16.31,-0.27,8.2,7.5,5.1,3.9,3.8,0.3,0.009,0.017
West Virginia,Syracuse,2021,2021-03-21,0,0.027,2.09,0.02,2.2,0.9,-0.7,1.8,0.8,-0.9,0.004,0.016
Winthrop,Villanova,2021,2021-03-19,0,0.231,-12.78,0.20,2.3,4.0,1.8,2.0,0.0,-4.4,-0.012,-0.010
Wisconsin,North Carolina,2021,2021-03-19,1,-0.057,2.43,0.21,-5.3,-2.1,-2.5,-4.1,-3.0,3.9,0.006,0.016
Wisconsin,Baylor,2021,2021-03-21,0,-0.330,-7.61,-0.04,-7.0,0.5,0.1,-0.5,-0.5,4.0,-0.032,-0.022
Abilene Christian,Kentucky,2019,2019-03-21,0,0.000,-23.34,0.68,-1.7,1.1,1.6,0.9,-0.7,-1.9,0.013,0.006
Arizona State,Buffalo,2019,2019-03-22,0,-0.215,-5.28,-0.50,-2.1,2.7,2.9,1.8,1.4,-0.2,0.001,0.018
