Team,Opponent,Year,Date,W/L,W%,SRS,EXP,PTS,REB,AST,STL,BLK,TOV,TS%,3PA/FGA,3P%
Gonzaga,UCLA,2023,2023-03-23,1,-0.004,-3.12,0.46,12.0,1.9,1.8,-1.2,-0.4,0.7,0.063,0.033,0.030
Gonzaga,Connecticut,2023,2023-03-25,0,0.091,-3.96,0.44,7.5,-2.1,-1.2,0.9,-1.5,-2.2,0.029,-0.094,0.016
Grand Canyon,Gonzaga,2023,2023-03-17,0,-0.163,-14.56,-0.06,-10.9,-0.6,-3.7,-2.3,-0.2,1.2,-0.029,0.095,0.004
Houston,Northern Kentucky,2023,2023-03-16,1,0.265,23.03,0.25,7.1,6.4,1.3,-1.5,2.4,-1.3,0.029,-0.033,-0.002
Houston,Auburn,2023,2023-03-18,1,0.287,7.85,-0.42,2.1,2.7,0.6,0.2,-0.2,-2.2,0.023,0.028,0.025
Houston,Miami (FL),2023,2023-03-24,0,0.131,8.22,0.08,-4.2,4.2,0.2,0.6,1.8,-1.1,-0.026,0.038,-0.028
Howard,Kansas,2023,2023-03-16,0,-0.147,-24.24,0.11,-0.1,-0.1,-1.5,-1.6,-0.8,4.1,0.004,0.032,0.027
Illinois,Arkansas,2023,2023-03-16,0,0.019,-1.18,-0.33,0.2,2.5,-0.4,-1.5,0.5,0.2,-0.004,0.141,-0.005
Indiana,Kent State,2023,2023-03-17,1,-0.157,7.41,-0.20,-1.4,0.0,2.9,-3.0,1.2,0.1,0.015,-0.119,0.032
Indiana,Miami (FL),2023,2023-03-19,0,-0.115,0.96,0.21,-4.4,1.0,0.7,-1.5,2.0,0.4,-0.018,-0.077,0.000
Iona,Connecticut,2023,2023-03-17,0,0.037,-15.34,0.35,-2.6,-3.7,-2.6,1.2,0.6,-2.4,-0.026,-0.097,-0.001
Iowa,Auburn,2023,2023-03-16,0,-0.031,-0.27,-0.50,7.3,0.4,2.3,-1.2,-1.7,-2.4,0.022,0.024,0.025
Iowa State,Pittsburgh,2023,2023-03-17,0,-0.083,4.77,0.17,-7.5,-2.4,-0.3,3.7,-1.2,1.8,-0.039,-0.096,-0.029
Kansas,Howard,2023,2023-03-16,1,0.147,24.24,-0.11,0.1,0.1,1.5,1.6,0.8,-4.1,-0.004,-0.032,-0.027
Kansas,Arkansas,2023,2023-03-18,0,0.188,3.21,-0.07,1.3,0.6,3.6,0.4,-1.2,-0.4,0.009,0.060,0.034
Kansas State,Montana State,2023,2023-03-17,1,-0.017,13.61,0.84,2.3,1.6,4.5,1.5,-0.2,1.9,-0.011,0.020,0.007
Kansas State,Kentucky,2023,2023-03-19,1,0.063,1.03,0.63,1.7,-4.8,1.9,1.6,-0.9,2.0,0.024,0.061,-0.004
Kansas State,Michigan State,2023,2023-03-23,1,0.106,1.54,0.63,5.3,-1.1,2.4,3.3,-0.2,2.9,0.014,0.031,-0.050
Kansas State,Florida Atlantic,2023,2023-03-25,0,-0.193,1.87,0.97,-1.6,-4.3,2.6,1.5,0.2,2.0,-0.010,-0.080,-0.023
Kennesaw State,Xavier,2023,2023-03-17,0,0.029,-15.43,0.19,-5.9,-2.4,-4.8,1.5,-0.5,0.0,-0.022,0.077,-0.025
Kent State,Indiana,2023,2023-03-17,0,0.157,-7.41,0.20,1.4,0.0,-2.9,3.0,-1.2,-0.1,-0.015,0.119,-0.032
